cp_out_V,sch_isrc_uA,sch_isnk_uA,sch_mismatch_pct,pex_isrc_uA,pex_isnk_uA,pex_mismatch_pct,delta_pp
0.40,50.32936,49.21165,2.24573,50.33488,49.17991,2.32120,0.07547
0.45,50.32901,49.38628,1.89084,50.33452,49.36394,1.94704,0.05619
0.50,50.32865,49.49280,1.67470,50.33416,49.47506,1.72148,0.04678
0.55,50.32829,49.57105,1.51602,50.33379,49.55625,1.55680,0.04078
0.60,50.32793,49.63449,1.38740,50.33342,49.62185,1.42378,0.03639
0.65,50.32756,49.68895,1.27701,50.33305,49.67801,1.30994,0.03293
0.70,50.32719,49.73740,1.17882,50.33267,49.72786,1.20890,0.03008
0.75,50.32681,49.78154,1.08936,50.33229,49.77318,1.11703,0.02767
0.80,50.32642,49.82245,1.00645,50.33190,49.81512,1.03204,0.02559
0.85,50.32603,49.86084,0.92864,50.33150,49.85441,0.95240,0.02376
0.90,50.32562,49.89721,0.85491,50.33108,49.89158,0.87706,0.02215
0.95,50.32520,49.93192,0.78453,50.33066,49.92701,0.80523,0.02070
1.00,50.32475,49.96526,0.71691,50.33021,49.96098,0.73630,0.01939
1.05,50.32426,49.99741,0.65160,50.32970,49.99372,0.66980,0.01820
1.10,50.32363,50.02856,0.58807,50.32905,50.02540,0.60516,0.01709
1.15,50.32248,50.05883,0.52531,50.32783,50.05615,0.54127,0.01596
1.20,50.31962,50.08832,0.46072,50.32478,50.08609,0.47541,0.01469
1.25,50.31384,50.11713,0.39172,50.31875,50.11531,0.40512,0.01340
1.30,50.30517,50.14533,0.31826,50.30986,50.14388,0.33045,0.01219
1.35,50.29414,50.17296,0.24123,50.29862,50.17187,0.25232,0.01109
1.40,50.28137,50.20010,0.16177,50.28567,50.19933,0.17185,0.01008
1.45,50.26735,50.22677,0.08078,50.27148,50.22630,0.08992,0.00915
1.50,50.25241,50.25301,-0.00118,50.25638,50.25281,0.00709,0.00827
1.55,50.23674,50.27885,-0.08378,50.24054,50.27891,-0.07635,0.00744
1.60,50.22043,50.30431,-0.16689,50.22407,50.30462,-0.16025,0.00664
1.65,50.20354,50.32942,-0.25043,50.20701,50.32995,-0.24456,0.00588
1.70,50.18608,50.35419,-0.33441,50.18939,50.35492,-0.32927,0.00514
1.75,50.16807,50.37863,-0.41884,50.17121,50.37955,-0.41441,0.00442
1.80,50.14949,50.40276,-0.50377,50.15244,50.40385,-0.50004,0.00374
1.85,50.13031,50.42658,-0.58926,50.13309,50.42782,-0.58619,0.00307
1.90,50.11050,50.45008,-0.67536,50.11310,50.45146,-0.67292,0.00244
1.95,50.09004,50.47323,-0.76210,50.09244,50.47473,-0.76027,0.00183
2.00,50.06885,50.49598,-0.84944,50.07106,50.49757,-0.84820,0.00125
2.05,50.04691,50.51819,-0.93727,50.04891,50.51986,-0.93656,0.00071
2.10,50.02412,50.53962,-1.02522,50.02592,50.54134,-1.02502,0.00020
2.15,50.00042,50.55981,-1.11256,50.00201,50.56155,-1.11282,-0.00026
2.20,49.97571,50.57803,-1.19801,49.97708,50.57977,-1.19870,-0.00069
2.25,49.94987,50.59321,-1.27972,49.95102,50.59493,-1.28082,-0.00110
2.30,49.92278,50.60428,-1.35585,49.92370,50.60599,-1.35738,-0.00153
2.35,49.89426,50.61100,-1.42628,49.89494,50.61271,-1.42828,-0.00200
2.40,49.86410,50.61466,-1.49398,49.86454,50.61638,-1.49649,-0.00251
2.45,49.83203,50.61687,-1.56266,49.83222,50.61860,-1.56570,-0.00304
2.50,49.79768,50.61847,-1.63477,49.79762,50.62021,-1.63835,-0.00358
2.55,49.76058,50.61983,-1.71199,49.76024,50.62158,-1.71613,-0.00414
2.60,49.72000,50.62106,-1.79600,49.71937,50.62282,-1.80074,-0.00473
2.65,49.67488,50.62223,-1.88908,49.67395,50.62400,-1.89445,-0.00537
2.70,49.62350,50.62335,-1.99478,49.62222,50.62513,-2.00087,-0.00609
2.75,49.56284,50.62445,-2.11925,49.56112,50.62622,-2.12624,-0.00698
2.80,49.48702,50.62552,-2.27443,49.48469,50.62730,-2.28267,-0.00824
